청원인 A씨는 지난 8월12일 AZ 백신 2차를 맞으신 친정아버지께서 횡단성 척수염 진단을 받고, 얼굴과 손을 제외한 하반신 전체가 마비돼 거동을 못 하고 있다고 말문을 열었다 .	O O O O VACC-B O O O O DIS-B DIS-I O O O O O O O SYMP-B O O O O O O O
PART 01 코로나 백신 부작용… 왜? 코로나19 백신 접종은 코로나 바이러스에 감염되지 않도록 면역력을 우리 몸이 장착할 수 있게 하기 위함이다 .	O O O O O O O O O O O O O O O O O O O O O O
코로나 19 백신 접종자 가까이 가면 가려움증이 생기거나 두통을 겪는 등 이상 증상이 발생한다는 주장이 일부 미접종자 사이에서 확산하고 있다 .	O O O O O O O O O O O O O O O O O O O O O
이 중 아나필락시스 의심 사례는 1천123건에 불과했고, 이 마저도 백신 접종과의 인과 관계에서 비롯된 증상이라고 증명되지도 않았을 뿐더러 아나필락시스 진단이 아닌 ‘의심’ 진단을 받았기 때문에 보상 대상이 아니다 .	O O DIS-B O O O O O O O O O O O O O O O DIS-B O O O O O O O O O O
이 여성은 가슴이 커진 것을 기뻐하면서도 “혼란스럽다”는 반응을 보였다고 신문은 전했다 .	O O O O O O O O O O O O
백신 접종과 탈모의 관계는 아직 확인되지 않았다 .	O O DIS-B O O O O O
고영인 더불어민주당 의원은 접종 이후 중증이상사례도 많고 억울한 국민들이 계시지만 정부에서도 곤혹스러운 부분이 있을 수는 있다고 생각한다면서 하지만 억울해하는 국민들을 어떻게 구제해줄지는 정부에서 고민을 해야한다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
CPA 1차 합격을 하고 내년 봄 2차 합격을 위해 군 복무 중에도 계속 공부하던 아이였다”고 했다 .	O O O O O O O O O O O O O O O O O
코로나 백신 부작용은 극소수에 나타나지만, 이 극소수가 생각보다 많은 수일 지, 그리고 여기에 자신도 포함될 지 등에 대한 걱정이 점차 높아지는 모습이다 .	O O O O O O O O O O O O O O O O O O O O O O O
유족에 따르면 같은 날 오후 3시 30분쯤 의료진은 콩팥 등 장기가 다 손상돼 소변이 배출되지 않는 데다 염증 수치도 높다며 오늘 고비일 것 같으니 (마음의) 준비를 하라고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
인과성을 인정받은 2건의 사망 사례는 화이자 백신 접종 후 사망한 20대 남성과 아스트라제네카 백신 접종 후 사망한 30대 남성이다 .	O O O O O VACC-B O O O O O O VACC-B O O O O O O O
이 밖에 최 교수는 혈소판감소성 혈전증 (TTS) 에 대해 설명하면서 현재 코로나19 백신으로 바이러스 벡터 백신을 사용하지 않아 고민을 많이 하지 않아도 되지만, 일부 mRNA 백신 접종 후 보고가 되는 경우가 있어 환자들이 걱정을 많이 한다며 혈전증에 민감도가 높은 검사는 효소면역측정법(ELISA)이고, 혹시 혈전증 의심 또는 추정사례가 있는 경우 질병관리청에 PF4 ELISA 항체 검사를 의뢰하면 된다라고 설명했다 .	O O O O DIS-B DIS-I DIS-B O O O O O O O O O O O O O O O O O VACC-B O O O O O O O O O O O DIS-B O O O O O O O O O O O O O O O O O O O O
정부 계획대로라면 9월 말까지 2500만 명 이상이 더 접종을 받아야 한다 .	O O O O O O O O O O O O
이런 경우 누구라도 당황하지 않을 수 없고 망연자실하지 않을 수 없을 것이다 .	O O O O O O O O O O O O O
이 외에도 “모더나 맞으신 학원 수강생하고 오랫동안 차 한잔 마셨는데 얼굴이 얼얼하다 .	O O O O O O O O O O O O O
최대 보장금액을 200만원으로 동일하지만 가입 가능 나이는 상품별로 다르므로 부모님 등 가입을 고려한다면 가입연령을 따져봐야 한다 .	O O O O O O O O O O O O O O O O O
이번 연구를 이끈 카이저 퍼머넌트 백신연구센터장 니콜라 클라인 박사는 “이번 연구는 백신접종자에 대해 정밀 분석을 통해 나온 결론이기 때문에 백신에 대한 불신을 없애는데 도움이 될 것”이라며 “mRNA 백신 이외 모든 코로나19 백신의 안전성을 앞으로 2년 동안 계속 모니터링할 계획”이라고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O VACC-B O O O O O O O O O O O O O O
이 카페에는 17일 현재 가입자가 1만3136명이고, 게시글은 3907개에 달한다 .	O O O O O O O O O O
부작용 인식시 백신 접종 3일차에 오는 국민비서 구삐 설문지에 이상반응을 신고하는 방법과 진료 후 의사에게 부작용, 이상반응을 신고하는 방법이 있다 .	O O O O O O O O O O O O O O O O O O O O O
◇독감 백신, 코로나 백신과 함께 맞아도 될까	O O O O O O O
또 “명절에 시댁 다녀와서 두드러기 같은 게 다리에 올라왔다”, “모더나 접종자 옆에 있을 때 제일 심했다”, “1차 접종자 옆에서 심한 소독약 냄새 맡았다”며 비슷한 증상을 겪었다는 이들이 다수 등장했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
해당 질환의 치료에 필요한 면역글로불린주사제(Human Immunoglobulin G 주)는 이미 일부 질환에 대해 건강보험 적용을 받고 있지만, 아직 혈소판감소성 혈전증에는 적용 받지 못하고 있었던 약제이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O
해당 보험들은 코로나 백신 부작용 중에서도 아나필락시스를 보장하는 것이 특징이다 .	O O O O O O DIS-B O O O O
이어 평소에 건강한 아들이었는데 정부의 접종률 높이기 때문에 하루아침에 백혈병 환자가 됐다며 관할 보건소에 전화해도 답변이 좋지 않다 .	O O O O O O O O O O O O O O O O O O O
청원인은 화이자 백신 1차 접종 2주 후 아버지가 저희 가족의 곁을 떠나셨다 .	O VACC-B O O O O O O O O O DIS-B O
이건 누가 책임을 져야 하냐고 호소했다 .	O O O O O O O
이어 “백신을 맞고 별 증상이 없다고 해서 백신 효과가 없을 것이라 걱정할 필요는 없다”며 “코로나19 백신 접종 후 발열, 근육통 등의 부작용 발생 시 우려하지 말고 타이레놀 등 해열제를 복용할 것”을 권했다 .	O O O O O O O O O O O O O O O O O O SYMP-B SYMP-B O O O O O O O O O O O O O
또 사망한 추씨의 가족과 지인들은 “건강하던 사람이 코로나 백신을 맞고 몇 시간 만에 쓰러져 사망했는데도 의학적 지식이 없는 사람들이 코로나 백신 부작용에 의한 사망인지 어떻게 증명해야 하나”하며 분통을 터뜨리고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
다행히 주변 시민들의 도움으로 A 학생은 분당서울대병원 응급실로 급히 이송됐고 심폐소생술을 거쳐 생명을 살렸다 .	O O O O O O O O O O O O O O O
의료비 지원대상으로 확정된 총 8명 중 지원을 신청한 4명 중 3명은 지원절차가 완료됐고, 1건은 절차가 진행 중이다 .	O O O O O O O O O O O O O O O O O O
유럽연합(EU) 의약품 규제기관인 유럽의약품청(EMA)이 미국 제약사 존슨앤드존슨 자회사 얀센의 신종 코로나바이러스 감염증(코로나19) 백신과 관련해 접종 후 매우 드물게 나타나는 정맥혈전색전증을 부작용에 포함시킬 것을 권고했다 .	O O O O O O O O O O O O O O O O O O O DIS-B O O O O O
캐나다 맥매스터대의 이샥 나지 교수 연구진은 7일(현지 시각) 국제 학술지 ‘네이처’에 “소수 환자 대상 시험에서 코로나 백신이 유도한 항체가 헤파린처럼 혈소판 단백질과 결합해 혈전이 발생하는 것을 확인했다”고 밝혔다 .	O O O O O O O O O O O O O O O O O O O O O O O SYMP-B O O O O O
앞서 지난 2일 네이버 카페 코로나 백신 부작용 피해자 모임에는 백신 접종 즉시 한의원 가서 부항 뜨는 거 어떨까요. 어깨, 팔 위주로 피를 빼는 거예요라는 글이 올라왔고, 이는 각종 온라인 커뮤니티로 확산돼 화제를 모았다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
제가 먼저 접종한 후 큰 부작용 없이 지나갔던 터라 아버지에게도 안심하시라며 접종을 권유했고 제 손으로 예약해 드렸다 .	O O O O O O O O O O O O O O O O O O
이어 지난 24일 강원도 강릉시 소재 한 의료기관에서 교차접종이 허용되지 않는 모더나 백신을 주민 40여명에게 접종한 것으로 알려졌다 .	O O O O O O O O O O O VACC-B O O O O O O O
박완범 교수는 “이번 연구는 코로나19 백신 부작용과 면역성의 연관성을 평가한 첫 번째 연구”라며 “연구 결과 백신 접종 후 부작용의 심각도와 항체 형성과는 특별한 관련이 없는 것으로 밝혀졌다”고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
/연합뉴스 의료진이 화이자 백신에 생리식염수를 희석하고 있다 .	O O VACC-B O O O O O
학교 관계자는 아시아경제에 다행히 위기 상황을 무사히 넘기고 현재는 대학수학능력시험을 준비하고 있다며 인터넷을 통해 허위사실이 유포돼 속상하다고 전했다 .	O O O O O O O O O O O O O O O O O O O
A씨는 “(카페를 보면) 많은 사람들이 고통을 받고 있는데 부작용을 인정받은 사람은 거의 없다”라며 “특히 저림, 시력저하, 피부발진, 부정맥 증상이 많은데 이 부분은 현재 부작용으로도 인정이 되지 않고, 의사들도 해줄 수 있는 게 없다고 한다”고 토로했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이런 사실을 통해 일부에서는 코로나19 발생이 환경오염을 경고하는 메시지라는 주장을 하는 사람도 있다 .	O O O O O O O O O O O O O O
아스트라제네카 백신 1차를 접종한 42명 중 39명(93%)이 국소 부작용, 40명(95%)이 전신 부작용을 보고했다 .	VACC-B O O O O O O O O O O O O O
화이자 코로나 백신의 경우 1차 접종보다 2차 접종 시에 이상 반응의 빈도나 강도가 높아지는 것으로 알려져 있습니다	VACC-B O O O O O O O O O O O O O O O O
한교협 관계자는 “방역당국과 교육부는 고3 코로나 백신 부작용을 지속적으로 모니터링해 부작용을 사전차단하거나 적극 대응하기 위한 모든 노력을 다해야 한다”며 “고3 백신 부작용 결과를 솔직히 제기하고 실효성 있는 부작용 대책을 마련해야 한다”고 촉구했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
심의 내용에 포함된 사항은 임상부와 소아청소년 대상 코로나 백신 접종과 접종 권고와 6개월 후에 부스터샷 접종 권고 그리고 기존의 다른 백신과 최소 14일 간격으로 접종하던 코로나 백신을 접종간격에 관계없이 접종이 가능토록 하는 내용이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
한화손해보험은 차도리ECO운전자상해보험에 아나필락시스 쇼크 진단 특약을 선보였다 .	O O O O O O O O
내가 여러분에게 하나의 정보가 됐으면 좋겠다고 블로그에 자신의 사례를 공개하는 취지를 표명했다 .	O O O O O O O O O O O O O
한편 코로나19 백신을 맞은 뒤 사지마비 증상을 보인 40대 간호조무사가 산업재해 인정을 받았다 .	O O O O O O O O O O O O O O
인류가 자신의 삶의 터전으로 지구를 소중히 생각하지 않아 발생한 문제다 .	O O O O O O O O O O O
연구 결과는 국제학술지인 ‘대한내과학회지’(Korean Journal of Internal Medicine) 최근호에 게재됐다 .	O O O O O O O O O O O
스웨덴 보건 당국이 30살 이하 젊은 층에게는 모더나 코로나19 백신 접종을 일시 중단하기로 했습니다 .	O O O O O O O VACC-B O O O O O O O
작성자는 동생이 CT도 찍고 MR도 찍고 한 결과 척추염증 이라고 하더라라며 의사는 코로나 백신으로 척추염이 생긴 것이 아니라고 했지만 병가를 내기 위해 받은 진단서에는 백신 부작용에 따른 척추염이라는 소견을 받았다고 적었다 .	O O O O O O O O DIS-B O O O O O O O O O O O O O O O O O O DIS-B O O O O
내과의사회 곽경근 총무이사는 정부는 일정을 구분해 놨지만 코로나 2차 접종 대상자와 독감 접종이 겹치는 부분이 있을 것이라고 생각은 하고 있다며 독감 NIP도 예약제로 해야 된다는 의견이 나오고 있고 의사회도 질병청과 논의할 필요는 있다고 밝혔다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
증상이 심하면 영구적인 ‘연하장애(음식물을 씹어 삼키는 활동의 장애)’나 호흡장애를 일으킬 수도 있다 .	O O O O O O O O O O O O O
이로 인해 금감원으로부터 제재를 받기도 했다 .	O O O O O O O
정부가 현재 많은 국민들을 상대로 코로나19 백신 접종을 적극적으로 권고하고 있지만, 국민 상당수는 여전히 백신의 안전성에 대해 불신감이 큰 상황이다 .	O O O O O O O O O O O O O O O O O O O O O
이에 예방접종추진단은 이달 6일부터 추석 전까지 2주간 의료기관별 접종 예약 가능 인원을 200만명 이상 늘리기로 했다 .	O O O O O O O O O O O O O O O O O
고등학교 3학년생인 아들이 신종 코로나바이러스 감염증(코로나19) 백신 접종 후 백혈병 판정을 받았다는 국민청원이 올라왔다 .	O O O O O O O O O O O O O O O
2~3일 후 백혈구 수치가 정상인 범위(4천)에서 8만개로 폭팔적 증가해 상급병원으로 급히 이송돼 급성 골수 백혈병 진단을 받았다 .	O O O O O O O O O O O O O O DIS-B O O O
지난 10일에도 화이자 백신 접종 2주만에 저희 아버지의 심장이 차갑게 멈춰버렸습니다라는 제목의 코로나19 백신 부작용 국민 청원글이 게재됐다 .	O O VACC-B O O O O O O O O O O O O O O O O
또 mRNA 백신 접종의 가장 큰 이상증상으로 알려진 심근염과 심막염에 대해서는 12~39세 접종자들 중 백신 접종과 직접 관계가 있는 사람은 34명으로 조사됐다고 밝혔다 .	O VACC-B O O O O O O DIS-B DIS-B O O O O O O O O O O O O O O
발열, 통증이 나타났을 때는 △깨끗한 수건을 차갑게 적셔 해당 부위에 덮거나 △팔 운동을 하거나 팔을 움직이는 방법으로 증상을 완화시키면 된다 .	SYMP-B SYMP-B O O O O O O O O O O O O O O O O O O O
14일 코로나 백신 부작용 피해자 모임을 비롯한 여러 온라인 커뮤니티에는 이른바 코로나 19 백신 쉐딩(Shedding) 현상을 경험했다는 글이 다수 올라오고 있다 .	O O O O O O O O O O O O O O O O O O O O O O
암튼, 재미있는 상황이 아닌데도 혼자 말하고, 혼자 배꼽을 잡고 웃는 후배 신부님의 모습을 보면서 코로나19 백신 부작용이라 확신했습니다 .	O O O O O O O O O O O O O O O O O O O
29일 코로나 백신 부작용 피해자 모임 등 인터넷 카페에서는 지난 7월 코로나19 화이자 백신을 맞은 용인외고 3학년 학생이 심정지로 심폐소생술(CPR)을 받고 중환자시레 입원했다는 소식이 급속히 확산됐다 .	O O O O O O O O O O O O VACC-B O O O O O O O O O O O O O O
신문에 따르면, 미국 질병통제예방센터(CDC)는 미국 언론들에 보낸 성명을 통해 “미국에서 얀센 백신을 접종한 1280만 명 가운데 길랑-바레 증후군 의심사례가 약 100건 접수됐다”면서 “백신 접종 2주 뒤 사례 보고가 있었고, 대부분은 50세 이상 남자였다”고 밝혔다 .	O O O O O O O O O O VACC-B O O O O O O O O O O O O O O O O O O O O O O O O
백신보험으로 불리는 해당 상품은 피보험자가 아나필락시스 진단을 받았을 때 보험금을 보장하는 방식이다 .	O O O O O DIS-B O O O O O O O
추가적으로 코로나19 예방접종과 관련해서 더 자세한 사항이 궁금하시다면, 질병관리청 예방접종도우미 사이트(https://nip.kdca.go.kr/)를 참고하시면 좋을 것 같습니다 .	O O O O O O O O O O O O O O O O
보도에 따르면 가정의학의인 칼 램퍼트 박사는 (인터넷을 통해 확산하는 음모론) 사실상 불가능하다며 최근에는 고환 손상을 걱정하는 환자들로부터 수많은 연락을 받았다 .	O O O O O O O O O O O O O O O O O O O O O
그러면서 “병원의 과실이라면 병원에 응당한 책임을 지게 해달라”며 “한 아이의 부모가 애절한 마음을 붙잡고 두 손 모아 빌고 또 빈다. 23살 아이의 사망원인을 명명백백히 밝혀 아이의 원통함이 없게 해달라”고 호소했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
학교별 백신 접종상황에 따라 임시휴업일 지정이 가능하도록 안내가 필요하다 .	O O O O O O O O O O
최근 네이버 카페 ‘코로나 백신 부작용 피해자 모임’을 비롯한 각종 온라인 커뮤니티엔 “쉐딩 현상을 경험했다”는 사람들의 증언이 이어졌다. ‘백신 쉐딩’은 코로나19 백신 접종자들이 바이러스 입자를 방출해 미접종자에게 가려움증이나 염증, 두통 등을 유발한다는 현상으로 아직 사실 입증이 되지 않은 주장이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O SYMP-B O O O O O O O O O O
이렇게 머리카락이 빠지면서 A 씨는 가발을 쓰고 출근했다고 밝혔다 .	O O O O O O O O O O
강민진 대표는 “코로나 백신과 월경 이상, 정부는 응답하라”면서 “코로나 백신 접종 후 수많은 여성들이 부정출혈과 월경 이상 증상을 호소하고 있다 .	O O O O SYMP-B SYMP-I O O O O O O O O SYMP-B SYMP-B SYMP-I O O O O
라이나생명 가입 연령은 20~70세, 하나손해보험은 만19세~만69세, 교보라이프플래닛은 만19세부터 만70세까지다 .	O O O O O O O O O O
출처 : 시장경제(http://www.meconomynews.com)	O O O
보상내용은 진료비, 간병비와 장제비(사망에 따른 장례비), 사망‧장애일시보상금 등이다 .	O O O O O O O O O
맥매스터대 연구진은 ‘헤파린 유도 혈소판 감소증(HIT)’ 환자 10명과 코로나 백신 유도 혈전증 환자 5명에서 항체를 추출해 분석했다 .	O O DIS-B DIS-I DIS-I DIS-I O O O O O DIS-B O O O O O O
우리 말고 다른 나라의 책임이 더 크다는 반론이 있겠지만 우리 시민 스스로와 우리나라의 행동에 대한 반성부터 먼저 하는 게 순서다 .	O O O O O O O O O O O O O O O O O O O O O
코로나 백신 부작용 중 한 가지로 알려져 있는데, 발병 확률이 0.0006% 수준이다 .	O O O O O O O O O O O O O
가족들은 추씨가 기저질환이 없었고 화이자 백신을 맞은 당일 호흡곤란 증세를 느끼고 병원으로 와 막힌 혈관의 혈전제거 수술을 하고 에크모장치 치료를 받던 중 깨어나지 못했다며 백신 접종 부작용으로 인한 사망을 의심, 주장하고 있다 .	O O O O VACC-B O O O SYMP-B O O O O O O O O O O O O O O O O O O O O O O O O
온라인에서 ‘부항을 통해 백신액을 뽑아내면 백신 부작용이 없다’는 주장이 확산해 이목을 모은 가운데 한의사들이 “백신은 맞는 즉시 몸에 퍼져 뽑혀 나오지 않는다”고 전했다 .	O O O O O O O O O O O O O O O O O O O O O O O O
◆ 1천원대 저렴한 보험료로 가입 가능 12일 보험업계에 따르면 최근 생명보험사, 손해보험사들이 백신 접종 이후 나타날 수 있는 급성 알레르기 질환인 아나필락시스 쇼크를 보장하는 상품을 출시하고 있다 .	O O O O O O O O O O O O O O O O O O O O O DIS-B DIS-I O O O O O
◇ 사례 15만건 수집한 두 여성 학자, 프로젝트 탈락 NIH가 연구 지원에 나서게 된 건, 지난 4월부터 ‘백신 접종 후 생리 불순’ 사례를 수집하고 공론화시킨 두 여성 학자 때문이다 .	O O O O O O O O O O O O O O O O O O O O SYMP-B SYMP-I O O O O O O O O
지금은 사실상 아낙필락시스와 혈소판감소증 혈전증과 같은 국제적으로 인정된 이상반응만 부작용으로 판단한다 .	O O DIS-B DIS-B DIS-I O O O O O O O
저도 요즘 왜 이렇게 자주 웃는지는 모르겠어요 .	O O O O O O O O
코로나 백신 부작용 피해 보상은 당사자가 직접 보건소에 보상신청을 해야 한다 .	O O O O O O O O O O O O
모더나 백신 부작용으로 탈모를 겪고 있다는 국민청원에 이어 이번에는 화이자 백신을 맞고 탈모가 생겼다는 주장이 제기됐습니다 .	VACC-B O O DIS-B O O O O O VACC-B O O DIS-B O O O O
전문가들은 집단면역을 하루빨리 달성하기 위해 정부가 백신 이상 반응에 적극적으로 대응하는 것이 무엇보다 중요하다는 데에 입을 모은다 .	O O O O O O O O O O O O O O O O O O
그동안 방역당국에서는 백신 부작용에 대한 우려는 근거가 미약하다는 점을 들며 정부를 믿고 접종지침을 충실히 따라 달라고 말해왔다 .	O O O O O O O O O O O O O O O O O O
최근 코로나19 백신 후유증을 호소하는 청원이 이어지는 가운데 이번엔 백신 2차 접종 이후 이틀 만에 사망한 20대 아들의 사망 원인을 밝혀달라는 내용의 청원이 올라왔다 .	O O O O O O O O O O O O O O O O O O O O O O O O O
접종은 오는 10일부터 20일까지 실시될 예정이다 .	O O O O O O O
또한 66%라는 추정치는 비교적 짧은 연구 기간에 근거한 것이라고 밝혀졌다 .	O O O O O O O O O O O
30만원 미만의 피해보상을 신청한 사례 212건 중 153건, 30만원 이상의 보상을 신청한 사례 79건 중 19건에 대해 보상한다 .	O O O O O O O O O O O O O O O O O O O
책임의 경중이 있겠지만 개인도 책임을 피할 수 없다. 하지만 국가와 사회의 책임이 일차적이다 .	O O O O O O O O O O O O O O
고등학교 3학년의 신종 코로나바이러스 감염증(코로나19) 백신 접종이 19일부터 시작된 가운데, 고3 백신 부작용 대책을 마련해야 한다는 주장이 나왔다 .	O O O O O O O O O O O O O O O O O O O
아싸~라고 응원했다 .	O O O
특히 △예방접종 후 숨쉬기 곤란하거나 심하게 어지러운 경우 △입술, 얼굴이 붓거나 온몸에 심한 두드러기 증상이 나타나는 경우 △갑자기 의식이 없거나 쓰러진 경우에는 119로 연락하거나 가까운 응급실로 내원하면 된다 .	O O O O O O O O O O O O O SYMP-B O O O O O O O O O O O O O O O
해당 보험은 외부자극에 의해 급격하게 진행되는 중증 알레르기 반응인 아나필락시스로 진단받을 경우에만 보장된다고 금감원은 전했다 .	O O O O O O O SYMP-B O DIS-B O O O O O O
29일 청와대 국민청원 게시판에는 백신 패스 반대합니다라는 청원이 올라왔다 .	O O O O O O O O O O
부작용 발생, 100만명당 2.5명~4.7명…독감은 100만명당 1명 꼴 황응수 서울의대 교수가 코로나 백신 부작용 발생 확률에 대해 설명하고 있다 .	O O O O O O O O O O O O O O O O O O O
조 국장은 인과성이 인정되면 30만원 미만의 경증도 보상을 해우고, 인과성이 불명확해도 중증환자의 경우 1000만원까지도 보상해준다며 인과성이 인정되지 않더라도 재난적 의료비나 긴급 복지 기금을 받게끔 구성돼 있다고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
코로나 백신 부작용에 따른 항체 역가 화이자 백신은 1차보다 2차 접종 시 부작용이 심했다 .	O O O O O O VACC-B O O O O O O O O
mRNA를 이용한 화이자와 모더나의 코로나19 백신은 일부 부작용이 나타날 수 있지만 건강에 심각한 영향은 없다는 첫 종합분석 보고서가 나왔다 .	VACC-B O VACC-B VACC-B O O O O O O O O O O O O O O O O
반면, 백신접종으로 인한 부작용을 보면 화이자 백신 접종자들이 겪는 아나필락시스 부작용이 100만명 중 5~11건, 모더나 백신 접종자의 아나필락시스는 2.5건으로 매우 안전한 수준이었다 .	O O O O O VACC-B O O O DIS-B O O O O VACC-B O O DIS-B O O O O O
분석 대상은 1차 mRNA 백신 접종자 약 620만명, 2차 접종자 약 570만명이었다 .	O O O VACC-B O O O O O O O O O
코로나19 백신처럼 새로 개발된 백신에서 어떤 부작용이 발생할지 모르니 당연히 인과성을 폭넓게 인정하는 것이 맞는데도 불구하고 정부는 판정 기준을 정반대로 바꾼 것이다 .	O O O O O O O O O O O O O O O O O O O O O O O
이상 #백신완료자 후기였습니다!!	O O O
지난 4월부터 개최된 제1차에서 제4차까지 보상위원회의 총 심의건수는 713건이고 이 중 525건(73.6%)이 보상을 받게 됐다 .	O O O O O O O O O O O O O O O O
최근 우리나라뿐 아니라 앞서 전 세계 많은 여성이 백신 접종 시작 이후 온라인에서 생리 불순이나 평소보다 심한 생리통이 혹시 알려지지 않은 코로나 백신 부작용인지 묻기 시작했다 .	O O O O O O O O O O O O O SYMP-B SYMP-I O SYMP-B SYMP-I O O O O O O O O O
이어 사실 백신을 개발하면 부작용 관련 이슈는 대부분 있다 .	O O O O O O O O O O
그래도 백신을 맞는 것이 현재로선 가장 최선의 방법이라고 할 수 있다 .	O O O O O O O O O O O O
그는 이어 놀란 제가 화장지를 가져와 아버지에게서 뿜어져 나오는 피를 닦았다 .	O O O O O O O O O O O O
아스트라제네카, 얀센 백신 접종의 경우 드물지만 혈소판감소성혈전증(TTS) 또는 길랑-바레 증후군(Guillain-Barre Syndrome)이 접종 후 4일에서 4주 사이에 나타나면 즉시 의료기관의 진료를 받아야 한다 .	VACC-B VACC-B O O O O DIS-B O DIS-B O DIS-I O O O O O O O O O O O O
이 글은 수술 이력도 기저 질환도 없던 35세 여성이 화이자 백신 접종 이후 갑자기 사망한 사례를 담고 있다 .	O O O O O O O O O VACC-B O O O O DIS-B O O O O
해당 의료기관 신고에 따라 서울시 역학조사가 진행됐으며, 지난 30일 저녁 혈액응고장애자문단회의 결과 혈소판 감소성 혈전증 사례 정의에 부합한다는 임상 판단이 내려졌다 .	O O O O O O O O O O O O DIS-B DIS-I DIS-I O O O O O O O
한편 화이자 백신 2차 접종과 아스트라제네카 백신 1차 접종 후 부작용의 빈도와 중증도는 유사한 것으로 나타났다 .	O VACC-B O O O VACC-B O O O O O O O O O O O
KB손해보험은 신상품인 4세대 건강보험을 출시하면서 특약 형태로 아나필락시스 관련 내용을 넣었다 .	O O O O O O O DIS-B O O O O
7일 기준으로 전 국민 1차 접종률 60%, 2차 접종률 36%를 돌파한 가운데, 접종 초기부터 우려됐던 부작용 의심사례가 광범위하게 나타나고 있다. 하지만 확실하게 인과성을 증명하기 어렵기에 환자 보호자들이 답답한 마음에 청와대 국민청원에 문을 두드리고 있는 것이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
지난 1년 반 가까이 쉴 틈 없이 코로나19 방역에 매달려온 일선 방역 인력을 더욱 지치게 하고 있다 .	O O O O O O O O O O O O O O O O O O
/연합뉴스 이번 연구 프로젝트에는 보스턴 대학, 하버드 의대, 존스홉킨스 대학, 오리건 보건과학 대학, 미시간 스테이트 대학 등 5팀이 선정됐다 .	O O O O O O O O O O O O O O O O O O O O
정부가 이상반응에 대한 보상을 책임진다고 했지만 인과성을 인정받을 수 있는 건 사실상 정해진 부작용들에 한정돼 있는 셈이다 .	O O O O O O O O O O O O O O O O O O
이제는 우리가 해야 할 일이 되었다 .	O O O O O O O
우리 같은 ‘슬로우 사이언스’(slow-science)를 하는 여성 학자들의 연구실로는 오지 않는다”라고 토로했다 .	O O O O O O O O O O O O
특히 부작용으로 사망하거나 장애가 발생한 것으로 의심되는 가정에 대한 대책이 전무하디시피 하다. ‘백신 맞는 건 선이고 백신 안 맞는 건 악이다’는 식의 대응을 하는 정부지만 백신 맞고 나서 목숨을 잃거나 중증장애가 발생한 가정에 대한 생활 대책은 안 세우고 있다 .	O O DIS-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
백신 맞고 재빨리 한의원가서 부황으로 뽑아내야 할 것 같다”는 댓글을 달며 의견을 나눴다 .	O O O O O O O O O O O O O O
및 피로 등이다 .	O SYMP-B O O
이와 관련, 미국 질병예방통제센터(CDC)는 홈페이지를 통해 백신 배출 현상은 살아있는 균을 쓰는 백신에서는 발생할 가능성이 있지만 미국에서 현재 사용 승인하고 있는 코로나 백신은 해당 없다고 밝힌 바 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
그동안은 제조사에 상관없이 코로나 백신 접종 전이나 후에 아세트아미노펜 성분의 타이레놀을 지명구매해왔다면, 근래에 들어서는 화이자, 모더나 백신 접종자 중 이부프로펜 성분의 약, 특히 이 성분 600mg 용량을 찾는 경우가 많아졌다는 것이다 .	O O O O O O O O O O O O O O VACC-B VACC-B O O O O O O O O O O O O O O O O
지난달 화이자 1차 접종을 받았다고 밝힌 한 네티즌은 생리가 끝나는 날 백신을 맞았다가 부정출혈 증상을 겪었다고 한다 .	O VACC-B O O O O O O O O O O O SYMP-B O O O O
대한내과의사회는 “국가의 예방접종피해구제에 대한 권한은 이미 예방접종피해보상 전문위원회에서 국내사례와 해외사례 및 의학적 소견을 종합해 판단하고 있다”며 “질병관리청장이 이러한 절차를 무시하고 예방접종 부작용 규명을 신속하게 하기는 힘들다고 판단된다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
백신 접종자와 미접종자의 감염률과 추적 기간을 보면, 2020년 12월 14일부터 2021년 4월 10일까지의 초기 연구 기간 예방 효과는 91%였다 .	O O O O O O O O O O O O O O O O O O O O
